Name	Count
Total count: 	n= 10562  ( 100 % non-NA values)
1800	498
1696	318
1700	252
1679	245
1799	219
1798	213
1674	196
1795	178
1790	174
1794	172
1797	169
1796	160
1789	158
1793	145
1689	144
1686	137
1684	130
1688	129
1810	119
1780	119
1692	118
1770	117
1792	111
1791	102
1803	101
1763	100
1801	 99
1680	 99
1681	 94
1788	 93
1704	 91
1769	 79
1664	 78
1775	 71
1695	 70
1784	 66
1743	 66
1709	 66
1825	 64
1786	 64
1779	 63
1732	 63
1720	 63
1777	 62
1690	 62
1785	 61
1787	 60
1750	 58
1703	 58
1783	 57
1714	 57
1760	 56
1702	 56
1776	 54
1802	 52
1778	 50
1771	 50
1682	 50
1746	 47
1730	 47
1725	 47
1839	 46
1701	 46
1699	 46
1740	 45
1694	 45
1809	 44
1735	 44
1781	 43
1772	 43
1758	 43
1804	 42
1773	 42
1767	 42
1726	 42
1774	 41
1706	 41
1807	 40
1757	 40
1708	 40
1749	 39
1691	 39
1649	 39
1782	 38
1765	 38
1710	 38
1685	 38
1768	 37
1766	 37
1764	 37
1753	 36
1744	 36
1716	 36
1754	 35
1751	 34
1742	 34
1734	 34
1707	 34
1643	 34
1756	 33
1738	 33
1805	 32
1762	 32
1733	 32
1724	 32
1715	 32
1712	 32
1705	 32
1697	 32
1755	 31
1722	 31
1719	 31
1642	 31
1745	 30
1711	 30
1660	 30
1820	 29
1761	 29
1759	 29
1736	 29
1727	 29
1806	 28
1747	 28
1721	 28
1665	 28
1752	 27
1748	 27
1739	 27
1737	 27
1723	 26
1741	 25
1731	 25
1729	 25
1728	 25
1677	 23
1718	 22
1683	 22
1663	 22
1661	 22
1812	 20
1693	 19
1658	 19
1655	 18
1717	 17
1629	 17
1628	 17
1607	 17
1713	 16
1698	 16
1667	 16
1650	 16
1647	 16
1627	 16
1811	 15
1676	 15
1651	 15
1648	 15
1625	 15
1620	 15
1675	 14
1645	 14
1630	 14
1808	 13
1654	 13
1646	 13
1840	 12
1678	 12
1644	 12
1641	 12
1623	 12
1621	 12
1619	 12
1600	 12
1815	 11
1813	 11
1672	 11
1575	 11
1687	 10
1673	 10
1626	 10
1572	 10
1662	  9
1656	  9
1550	  9
1547	  9
1542	  9
1670	  8
1622	  8
1534	  8
1830	  7
1669	  7
1659	  7
1608	  7
1566	  7
1530	  7
1824	  6
1819	  6
1814	  6
1671	  6
1666	  6
1657	  6
1652	  6
1624	  6
1618	  6
1605	  6
1590	  6
1549	  6
1543	  6
1536	  6
1828	  5
1827	  5
1826	  5
1821	  5
1639	  5
1633	  5
1581	  5
1580	  5
1574	  5
1573	  5
1570	  5
1553	  5
1548	  5
1546	  5
1537	  5
1822	  4
1818	  4
1817	  4
1816	  4
1653	  4
1640	  4
1635	  4
1634	  4
1632	  4
1617	  4
1614	  4
1612	  4
1610	  4
1585	  4
1577	  4
1567	  4
1540	  4
1532	  4
1834	  3
1637	  3
1631	  3
1616	  3
1613	  3
1609	  3
1601	  3
1597	  3
1595	  3
1584	  3
1579	  3
1562	  3
1558	  3
1556	  3
1545	  3
1541	  3
1525	  3
1509	  3
1955	  2
1884	  2
1880	  2
1876	  2
1866	  2
1856	  2
1844	  2
1842	  2
1836	  2
1823	  2
1638	  2
1636	  2
1611	  2
1606	  2
1604	  2
1599	  2
1598	  2
1596	  2
1594	  2
1591	  2
1586	  2
1576	  2
1565	  2
1564	  2
1563	  2
1561	  2
1560	  2
1557	  2
1555	  2
1551	  2
1538	  2
1529	  2
1528	  2
1513	  2
1512	  2
1506	  2
1498	  2
1490	  2
1992	  1
1965	  1
1960	  1
1949	  1
1925	  1
1922	  1
1906	  1
1898	  1
1896	  1
1888	  1
1875	  1
1873	  1
1871	  1
1869	  1
1868	  1
1865	  1
1864	  1
1863	  1
1853	  1
1850	  1
1838	  1
1837	  1
1833	  1
1831	  1
1668	  1
1615	  1
1603	  1
1602	  1
1593	  1
1589	  1
1583	  1
1578	  1
1571	  1
1554	  1
1552	  1
1544	  1
1539	  1
1535	  1
1531	  1
1524	  1
1523	  1
1519	  1
1516	  1
1515	  1
1514	  1
1511	  1
1510	  1
1505	  1
1502	  1
1501	  1
1500	  1
1499	  1
1494	  1
1492	  1
1478	  1
1474	  1
