Name	Count
Total count: 	n=49366 (100% non-NA values)
n	6906
s.n	2069
charles bill, executrix thomas newcomb, deceas'd	 265
robert barker, kings most excellent majestie: assignes john bill	 262
john bill christopher barker, kings most excellent majesty	 262
author	 232
leonard lichfield	 154
edward husband, honorable house commons	 152
john dunlap	 139
andrew crooke, king's most excellent majesty, king's-arms copper-alley	 126
savoy, assigns john bill christopher barker, kings most excellent majesty	 120
john field	 118
charles bill, executrix thomas newcomb, deceas'd, kings most excellent majesty	 117
john wright kings head old bayley	 114
heir andrew anderson, his most sacred majesty	 103
assigns john bill christopher barker, kings most excellent majesty	 101
charles bill thomas newcomb, king queens most excellent	  97
robert barker, kings most excellent maiestie	  96
benjamin edes	  87
richard cotes	  84
john carter	  84
bonham norton iohn bill, kings most excellent maiestie	  77
cadell, strand	  76
john baskett, kings most excellent majesty, assigns thomas newcomb, henry hills, deceas'd	  75
evan tyler, kings most excellent majestie	  75
edward husbands	  71
evan tyler, kings most excellent majesty	  64
george grierson, king's most excellent majesty, king's arms two bibles essex-street	  63
debrett, opposite burlington-house, piccadilly	  62
benjamin tooke, kings most excellent majesty, are be samuel dancer book-seller castle-street	  59
booksellers london westminster	  58
leonard lichfield, university	  57
john bill, christopher barker, thomas newcomb, henry hills, kings most excellent majesty	  55
john holt	  54
henry hills john field, his highness	  54
assigns john bill deceas'd: henry hills, thomas newcomb, kings most excellent majesty	  54
horton	  53
andrew crook, queen's most excellent majesty, on blind-key	  53
l. lichfield	  52
wright	  50
e theatro sheldoniano	  50
r.w	  49
evan tyler	  49
george grierson	  48
edward husband john field	  48
charles bill thomas newcomb, king queen's most excellent	  48
almon, opposite burlington-house, piccadilly	  48
john baskett	  47
thomas baskett, king's most excellent majesty	  46
charles bill, henry hills, thomas newcomb, kings most excellent majesty	  46
b	  46
john bill christopher barker, king's most excellent majesty	  45
george horton	  45
dodsley, pall-mall	  45
charles bill, executrix thomas newcomb deceas'd	  45
robert barker, kings most excellent maiestie: assignes iohn bill	  44
john baskett, king's most excellent majesty	  44
printed	  42
charles bill executrix thomas newcomb, deceas'd	  42
andrew crook, kings most excellent majesty, on ormonde-key	  42
robert ibbitson	  41
r. baldwin	  41
debrett, opposite burlington house, piccadilly	  41
joseph hunscott	  40
john stockdale, piccadilly	  40
edward husband	  40
edw. jones savoy	  40
andrew crooke, queen's most excellent majesty, copper-alley	  40
william du-gard henry hills, his highness lord protector	  39
john bill, thomas newcomb, henry hills, kings most excellent majesty	  39
charles eyre william strahan, king's most excellent majesty	  39
iohn wright	  38
francis bailey	  38
debrett, piccadilly	  38
robert barker, kings most excellent majesty: assignes john bill	  37
james parker	  37
heir andrew anderson	  37
w. strahan	  36
john thomas	  36
james rivington	  36
william ross?	  35
strahan	  35
roberts warwick-lane	  35
millar, strand	  35
iohn thomas	  35
hudson goodwin	  35
heir andrew anderson, their most excellent	  35
samuel roycroft, honourable city london	  34
p. brooksby, deacon, blare, back	  34
m. cooper, globe pater-noster-row	  34
edw. husbands	  34
b.a	  34
william bradford	  33
milliken, 32, grafton-street	  33
james john knapton, crown st. paul's church-yard	  33
andrew crook, king's most excellent majesty, on cork-hill, near copper-alley	  33
john bill, kings most excellent majesty	  32
george grierson, king's most excellent majesty	  32
childs swaine	  32
booksellers	  32
andrew crooke, kings most excellent majesty, king's-arms copper-alley	  32
stephen bulkley	  31
robinson, paternoster-row	  31
robert wood	  31
evan tyler, king's most excellent majesty	  31
samuel green	  30
james flesher, honourable city london	  30
charles bill, thomas newcomb, king queen's most excellent	  30
bonham norton, iohn bill, kings most excellent maiestie	  30
assigns john bill, thomas newcomb, henry hills, kings most excellent majesty	  30
wright, opposite old bond-street, piccadilly	  29
william bladen	  29
vvilliam bladen	  29
roberts, near oxford-arms warwick-lane	  29
david c. claypoole	  29
society stationers	  28
m	  28
john streater, john macock, parliament	  28
henry hills john field, his highness lord protector	  28
boulter grierson, king's most excellent majesty	  28
w. bladen	  27
richard cotes, honourable city london	  27
nichols, society antiquaries	  27
laurence chapman	  27
iohn wright old-baily	  27
john baskett, queens most excellent majesty, assigns thomas newcomb, henry hills, deceas'd	  26
charles bill, thomas newcomb, king queens most excellent	  26
assigns thomas newcomb, henry hills, deceas'd	  26
andrew crooke, queen's most excellent majesty, on blind-key	  26
editor	  25
deputies christopher barker, queenes most excellent maiestie	  25
c	  25
benjamin tooke, kings most excellent majesty	  25
thomas baskett	  24
robert ibbitson, smithfield, neer queenes-head tavern	  24
mark baskett, king's most excellent majesty	  24
john stockdale, opposite burlington-house, piccadilly	  24
john field, parliament. are be seven stars fleetstreet, over against dunstans church	  24
john draper	  24
jane coe	  24
hall sellers	  24
samuel loudon	  23
robert white	  23
ric. chiswell, rose crown st. paul's church-yard	  23
iohn wright kings head old bayley	  23
heirs successors andrew anderson, his most excellent majesty	  23
christopher higgins, harts close, over against trone-church	  23
charles bill, executrix thomas newcomb, deceas'd, queens most excellent majesty	  23
london, edinburgh	  22
john wright	  22
john morphew, near stationers-hall	  22
james humphreys, junr	  22
his oxford, leonard lichfield	  22
charles eyre william strahan	  22
benjamin tooke, king's most excellent majesty	  22
samuel roycroft	  21
s	  21
nichols	  21
johnson, no. 72, st. paul's church-yard	  21
heirs successors andrew anderson, king's most excellent majesty	  21
h. hall	  21
h	  21
george grierson, king's most excellent majesty, king's-arms two bibles essex-street	  21
francis leach	  21
edward husband, honourable house commons	  21
edes gill	  21
charles bill, henry hills, thomas newcomb, king's most excellent majesty	  21
benjamin tooke .. are be joseph wilde	  21
andrew crook samuel helsham, assigns benjamin tooke kings most excellent majesty	  21
andrew crook samuel helsham, assigns benjamin tooke king's most excellent majesty	  21
smith	  20
savoy: edward jones	  20
john morphew near stationers-hall	  20
john field edward husband	  20
george faulkner	  20
george eyre andrew strahan, king's most excellent majesty	  20
francis childs john swaine	  20
edward husband iohn field	  20
charles bill, executrix thomas newcomb deceas'd, kings most excellent majesty	  20
booksellers town country	  20
andrew crooke, king's most excellent majesty, copper-alley	  20
william. chase, order goaler	  19
w	  19
r	  19
millar	  19
matthew walbancke	  19
matthew simmons	  19
johnson, st. paul's church-yard	  19
john crook .. are be samuel dancer	  19
james john knapton	  19
heirs successors andrew anderson	  19
benjamin towne	  19
andrew crook, king's most excellent majesty, on blind-key, near copper-alley	  19
w. jones	  18
thomas purfoot	  18
savoy, assigns john bill christopher barker, his	  18
milliken	  18
debrett	  18
benjamin edes sons	  18
andrew crook assignee benjamin tooke king queen their printing-house on ormonde-key	  18
wilkie, no. 71, st. paul's church-yard	  17
richard cotes, honorable city london	  17
p. byrne, no. 108, grafton-street	  17
iohn hammond	  17
iohn field	  17
edes gill, queen-street	  17
charles bill, executrix thomas newcomb, deceas'd, king queens most excellent	  17
baldwin, near oxford-arms warwick-lane	  17
andrew crook, queens most excellent majesty, on blind-key	  17
william du-gard, henry hills, his highness lord protector	  16
tourneisen	  16
robinson	  16
roberts, oxford-arms warwick-lane	  16
robert ibbitson smithfield, neere queens-head tavern	  16
robert bostock	  16
robert bell, third-street	  16
richard royston	  16
richard chiswell, rose crown st. paul's church-yard	  16
r. dodsley, pall-mall	  16
milliken, no. 32, grafton-street	  16
johnson	  16
john stockdale, opposite burlington house, piccadilly	  16
john howe	  16
john gill	  16
john fenno	  16
john draper, his excellency governour council	  16
john baskett, assigns thomas newcomb, henry hills, deceas'd	  16
frederick green	  16
d.m	  16
cooper, globe pater-noster-row	  16
chez john adamson	  16
cadell	  16
andrew crook samuel helsham assigns benjamin tooke kings most excellent majesty	  16
william bladen, special order	  15
thomas samuel green	  15
robert urie	  15
richard baldwin, near black bull old-baily	  15
r. smithurst, neer pye-corner	  15
powles churchyarde richarde iugge iohn cawood, queenes maiestie	  15
l	  15
john morphew, near stationer's-hall	  15
i. dawson. nathaniel butter nicholas bourne	  15
heirs successors andrew anderson, kings most excellent majesty	  15
h. jones	  15
h. blunden	  15
h. becke, are be old bayley	  15
edw. husbands, are be his shop middle temple	  15
christopher higgins, harts-close, over against trone-church	  15
assigns john bill, deceas'd: henry hills, thomas newcomb, kings most excellent majesty	  15
andrew crook, assignee benjamin tooke, king queens most excellent on ormonde-key	  15
wright, opposite old bond street, piccadilly	  14
william thomas bradford	  14
wilkie, st. paul's church-yard	  14
w. webb, near st. paul's	  14
roberts, warwick-lane	  14
robert barker, john bill, kings most excellent majesty	  14
richard baldwin	  14
randal taylor near stationers-hall	  14
london	  14
john macock	  14
isaac collins	  14
