Name	Count
Total count: 	76063
s.n.	32116
[s.n.]	11929
s.n.]	 5110
s.n	 4018
[s.n.	  194
Printed by Anthony Henry	   81
S.n.	   80
[s.n]	   69
Printed by Isaac Collins, printer to the state	   68
Printed by Samuel Hall, no. 53, Cornhill, Boston	   66
Printed and sold by B. Franklin, at the new-printing-office, near the market	   62
Printed by Young and Minns	   48
S.n.]	   48
Printed by William Weyman	   45
Printed by B. Green, printer to His Excellency the governour and Council	   43
printed by Anthony Henry	   38
Printed by John Melcher, printer to the state	   38
printed by Samuel Neilson	   38
Printed and sold by James Adams	   36
Printed by James Humphreys, Junr	   33
Printed by Thomas Bradford	   33
s.n.,]	   31
s.n]	   30
printed by Fleury Mesplet	   29
Printed by John Gill	   29
Printed by Richard Draper	   29
Printed by Jonas Green, printer to the province	   28
Printed and sold by B. Franklin, at the new printing-office near the market	   27
Printed by David C. Claypoole, printer to the Honorable the Congress	   27
Printed by Alexander Purdie	   26
Printed by Denis Braud	   26
Printed and sold by Jonas Green, printer to the province	   25
Printed by James Parker, printer to the King's Most Excellent Majesty, for the province	   25
Printed and sold by Hall and Sellers	   22
Printed by Hodge & Wills, printers to the state	   22
Printed by T. and J. Fleet	   22
Printed and sold by T. Fleet, at the Heart and Crown in Cornhill	   21
Printed by Augustine Davis, printer for the public	   21
Printed by Jonas Green, printer to the province; and are to be sold at his printing-office in Charles-Street	   21
Printed and sold by Jonas Green	   20
Printed by Way & Groff, no. 27, Arch-Street	   20
Printed by Way & Groff, no. 48, North Third-Street	   20
Printed by William Bradford in New-York	   20
Printed by Henry Miller, in Second-Street	   19
Printed by Isaac Neale	   19
Printed by Jonas Green	   19
Printed by S. Hall	   19
Printed by Timothy Green and Son	   19
Printed by Andrew Steuart, at the Bible-in-Heart, in Second-Street	   18
Printed by John Fenno, printer to the Senate of the United States	   18
Printed by Nathaniel Phillips, printer to the state	   18
Printed by Robert Aitken, at Pope's Head in Market Street	   18
Printed for Charles Smith and S. Stephens	   18
Printed and sold by John Marshall No. 4 Aldermary Church Yard	   17
Printed by Young & Minns, printers to the state	   17
Printed & sold by T. Green, printer to the gov. & Comp	   17
Printed and sold by T. & J. Fleet, at the Bible and Heart in Cornhill	   16
Printed by Adams and Nourse, printers to the Honorable General Court	   16
printed by Brown & Gilmore	   16
Printed by David C. Claypoole, printer to the Honorable the Congress of the United States of America	   16
Printed by Hall and Sellers, no. 51, Market-Street	   16
Printed by John Bradford, printer to the Commonwealth	   16
Printed by S. Kneeland, by order of His Excellency the governor, Council and House of Representatives	   16
Printed by T. Bradford	   16
