Name	Count
Total count: 	135347
charles eyre william strahan	1585
thomas baskett assigns robert baskett	1107
george eyre andrew strahan	 942
charles eyre andrew strahan	 932
john baskett	 732
john baskett assigns thomas newcomb henry hills deceas'd	 577
mark baskett assigns robert baskett	 550
charles bill executrix thomas newcomb deceas'd queens most excellent majesty	 477
charles bill executrix thomas newcomb deceas'd kings most excellent majesty	 452
george grierson	 363
george faulkner	 331
assigns john bill christopher barker kings most excellent majesty	 325
hudson goodwin	 318
william bradford	 317
heir andrew anderson his most sacred majesty	 316
john bill christopher barker kings most excellent majesty	 311
charles bill executrix thomas newcomb deceas'd	 308
john dunlap	 293
john carter	 272
childs swaine	 270
wilde company stationers	 248
robert barker kings most excellent majestie assignes john bill	 238
john field	 235
william strahan	 235
samuel green	 233
r cruttwell	 224
heirs successors andrew anderson	 214
charles bill executrix thomas newcomb deceas'd king queens most excellent	 191
john holt	 190
george faulkner essex-street	 187
thomas samuel green	 181
m robertson	 180
francis childs john swaine	 178
thomas baskett king's most excellent majesty assigns robert baskett	 175
bartholomew green	 174
francis childs	 173
john hayes university	 170
timothy green	 170
andrew crooke king's most excellent majesty king's-arms copper-alley	 169
george grierson king's most excellent majesty	 169
frederick green	 168
sprange	 165
william ross	 165
assigns john bill deceas'd henry hills thomas newcomb kings most excellent majesty	 162
benjamin edes	 159
assigns his majesty's henry hills deceas'd	 153
leonard lichfield	 150
john baskett kings most excellent majesty assigns thomas newcomb henry hills deceas'd	 148
charles bill thomas newcomb king queens most excellent	 146
john draper	 146
john blake	 140
p byrne no grafton-street	 140
john fenno	 138
b green	 137
john baskett king's most excellent majesty	 135
nichols	 135
c eyre executors w strahan	 131
george grierson king's most excellent majesty king's arms two bibles essex-street	 130
hall sellers	 127
anthony henry	 126
isaac collins	 126
w strahan	 126
evan tyler kings most excellent majesty	 124
heir andrew anderson	 124
powell	 124
bennett wheeler	 123
james parker	 123
parker company stationers	 119
boulter grierson king's most excellent majesty	 118
heir andrew anderson their most excellent	 118
morren	 118
edw jones savoy	 117
james magee	 115
thomas baskett robert baskett	 114
william pine	 114
assigns thomas newcomb henry hills deceas'd queens most excellent majesty	 113
hugh gaine	 113
james johnston	 113
charles eyre william strahan king's most excellent majesty	 112
john reid	 112
james watson	 111
strahan	 110
benjamin tooke kings most excellent majesty are be	 108
r raikes	 104
john baskett thomas norris assignee george hills	 103
paramore north-green worship-street	 103
