Name	Count
Total count: 	106259
s.n.	35040
[s.n.]	12935
s.n.]	 5509
s.n	 4302
printed in the year	 2956
Printed in the year	 1779
[s.n.	  297
Entered according to order	  253
printed	  252
apud Balfour et Smellie, Academiae Typographos	  219
apud Balfour et Smellie	  191
e Theatro Sheldoniano	  183
Printed	  157
R. Pynson	  140
Apud Balfour et Smellie, academiae typographos	  138
Printed and sold in London	  138
Fowler, printer, Salisbury	  133
Sprange, printer, Tunbridge-Wells	  120
Fowler, printer	   90
printed at the Theater	   90
printed for, and under the direction of, John Bell	   85
Angus, printer	   82
S.n.	   82
apud Balfour et Smellie, nec non apud Gulielmum Gibb	   79
English College Press]	   78
printed in this present year	   76
[s.n]	   75
chez Jean Nourse	   70
Harrop, printer	   68
W. de Worde	   68
Wynkyn de Worde	   65
Gedruckt bey Christoph Saur	   61
e typographeo Clarendoniano	   57
in ædibus Tho. Ruddimanni	   56
J. Crook	   56
Printed and sold in Aldermary Church-Yard, London	   53
chez John Adamson	   52
e theatro Sheldoniano	   52
re-printed in the year	   52
S.n.]	   52
apud T. & W. Ruddimannos	   51
aux dépens de la Compagnie	   49
Excudebat Iosephus Barnesius	   49
for John Wright at the Kings Head in the old Bayley	   49
Society of Stationers	   49
E Theatro Sheldoniano	   46
apud Hamilton, Balfour, et Neill	   45
Gedruckt und zu finden bey Christoph Saur	   44
At the Theater in Oxford	   43
Sold at no. 42, Long Lane	   43
Brooke, printer, Pater-Noster-Row	   42
printed for, and under the direction of, George Cawthorn, British Library, Strand	   40
W. Bladen	   40
For the Company of Stationers	   39
excudebat Adamus Neill cum sociis	   38
Printed and sold in Aldermary Church Yard, Bow Lane, London	   38
in aedibus Tho. Ruddimanni	   37
printed at the Minerva-Press, for William Lane	   37
Richard Pynson	   37
s.n.,]	   37
W. Caxton	   37
apud Balfour, Auld, et Smellie, Academiae Typographos	   36
In ædibus Richardi Tottelli	   35
printed at the Minerva-Press, for William Lane, Leadenhall-Street	   35
R. Barker	   34
Sprange, printer, Tunbridge Wells	   34
printed at the Clarendon Press	   33
s.n]	   32
English College Press] Permissu superiorum	   31
ex officina Rogeri Danielis	   31
in aedibus academicis excudebant Robertus et Andreas Foulis	   31
printed in the year of our Lord	   31
typis academicis	   31
be Robert Lekpreuik	   30
excudebant Adamus Neill et socii	   30
excudebant Adamus Neill et Socii	   30
Printed and sold in Bow-Church-Yard, London	   30
Printed at London, and re-printed at Edinburgh	   30
chez T. Hookham	   29
Cruttwell, printer	   29
ex officinâ hæredum Andreæ Anderson	   29
apud Balfour et Smellie, Facultatis Juridicae Typographos	   28
Licensed and entered according to order	   28
printed at the Honorable Company's Press	   28
Re-printed in the year	   28
Thomas Ewing	   28
[R. Pynson	   27
e Typographeo Clarendoniano	   27
Gedruckt bey Henrich Miller	   27
in aedibus academicis excudebant Rob. et And. Foulis	   27
Printed and sold in Aldermary Church-Yard, Bow Lane, London	   27
Printed at Canterbury, in the year	   27
Printed at the English College Press] Permissu superiorum	   27
reprinted in the year	   27
Richard Heyden, printer	   27
Gedruckt bey Michael Billmeyer	   26
Printed and sold in Aldermary Church Yard, London	   26
Printed in	   26
at the Clarendon Press	   25
at the Theater	   25
T. Berthelet	   25
printed at the Theatre	   24
s. n.	   24
apud T. W. & T. Ruddimannos	   23
F. Kingston	   23
Jacobs, printer, Halifax	   23
Printed and sold at no. 4, Aldermary Church Yard	   23
printed only for R. Baldwin	   23
Evans, printer, Long-lane, London	   22
ex officinâ Jacobi Tonson, & Johannis Watts	   22
Deputies of C. Barker	   21
excudebat Jacobus Watson	   21
for the Company of Stationers	   21
impensis authoris	   21
printed and sold in London	   21
W. Stansby	   21
Anno	   20
apud Balfour, Auld, et Smellie	   20
August	   20
aux depens de la Compagnie	   20
excudebat Andreas Hart	   20
From the press of Mathew Carey	   20
in aedibus academicis excudebant Robertus et Andreas Foulis Academiae Typographi	   20
Luke White	   20
Printed at the Theater in Oxford	   20
Apud Balfour, Auld, et Smellie, academiae typographos	   19
argraphwyd yn y flwyddyn	   19
aux dépens de la compagnie	   19
Excudebat Andreas Hart	   19
J. Harrop, printer	   19
Printed and sold in London.	   19
printed for, and under the direction of John Bell	   19
R. Redman	   19
re-printed	   19
Richard Heyden, printer, London	   19
W. Eyres, printer	   19
[George Allan]	   18
apud Gul. Gibb	   18
B. Tooke	   18
chez Samuel Harding	   18
Entered according to order.	   18
Ex typographia Societatis Stationariorum	   18
excudebat Andreas Foulis	   18
For the author	   18
Gedruckt zu Tranckenbar in der Missions-Buchdruckerey	   18
Printed and sold in Aldermary Church-Yard, Bow-Lane, London	   18
Printed in this present year	   18
reprinted	   18
[s.n	   17
excudebat Iosephus Barnesius	   17
Excudebat Richardus Field	   17
Excudebat Thomas Vautrollerius typographus	   17
excudit J. Pote	   17
Gedruckt bey Samuel Saur	   17
George Allan	   17
J. Crooke	   17
Printed at the Theater	   17
printed in the year of Christ	   17
Printed in the yeare	   17
Printed this present year	   17
