Name	Count
Total count: 	69308
the booksellers of london and westminster	1460
the booksellers	 749
the booksellers in town and country	 397
j. roberts in warwick-lane	 241
all the booksellers in town and country	 210
j. roberts	 209
all the booksellers	 205
t. green	 198
j. morphew	 152
brash & reid	 145
the author	 133
all booksellers in town and country	 130
most booksellers	 119
j. downing	 108
r. falkener	 107
m. lewis	 105
randal taylor, near stationers-hall	 101
all the booksellers in great britain and irel	  99
m. cooper	  97
m. cooper in pater-noster-row	  96
john white	  95
printing-office in bow-church-yard, london	  94
john morphew near stationers-hall	  87
the booksellers of london	  87
a. baldwin	  86
j. morphew near stationers-hall	  84
joseph downing	  83
john morphew	  79
john morphew, near stationers-hall	  76
j. nutt, near stationers-hall	  75
t. sowle, in white-hart-court in gracious-street	  75
the booksellers of pye-corner and london-bridge	  75
j. roberts, in warwick-lane	  74
all other booksellers in town and country	  73
all the booksellers in great-britain and irel	  73
h. hills, in black-fryars, near the water-side	  73
j. morphew, near stationers-hall	  73
a. baldwin in warwick-lane	  72
h. hills	  71
methodist preaching-houses in town and country	  67
randal taylor near stationers-hall	  66
robert horsfield	  66
him	  64
j. roberts, near the oxford-arms in warwick-lane	  64
b. franklin, at the new-printing-office, near the market	  63
j. downing in bartholomew-close near west-smithfield	  63
joseph downing in bartholomew-close near west-smithfield	  63
samuel dancer book-seller in castle-street	  59
j. baker	  58
timothy green	  58
new chapel, city-road; and at the rev. mr. wesley's preaching-houses in town and country	  57
b. franklin	  56
most booksellers in london and westminster	  56
h. hills, in black-fryars, near the water-side. for the benefit of the poor	  55
john nutt, near stationers-hall	  54
luke hinde, at the bible in george-yard, lombard-street	  54
g. walsh, 19, wood-quay	  53
edes and gill, in queen-street	  52
b. bragg	  51
j. nutt near stationers-hall	  51
m. cooper, in pater-noster-row	  51
g. whitfield, at the chapel, city-road; and at the methodist preaching-houses in town and country	  50
isaac collins	  50
j. & m. robertson	  50
samuel hall, no. 53, cornhill	  50
john nutt near stationers-hall	  49
j. boyle	  48
j. nutt	  48
all booksellers	  47
t. knott, no. 47, lombard-street; and champante & whitrow, jewry-street, london	  47
j. baker, at the black-boy in pater-noster-row	  46
new-chapel, city-road; and at the rev. mr. wesley's preaching-houses in town and country	  45
randal taylor	  45
j. davenport, london	  44
john applebee	  44
john brocas	  44
patrick mair	  44
w. dawson, london	  44
b. franklin, and d. hall	  43
john mycall	  43
r. and a. foulis	  43
j. johnson, st. paul's church-yard, london	  42
j. downing, in bartholomew-close near west-smithfield	  41
a. baldwin, near the oxford-arms in warwick-lane	  40
james phillips, george-yard, lombard-street	  40
m. cooper, at the globe in pater-noster-row	  40
rogers and fowle in queen-street	  40
james adams	  39
john marshall	  39
joseph crukshank, in market-street, between second and third-streets	  39
pamphlet-shops of london and westminster	  39
robert and andrew foulis	  39
the booksellers of london, and westminster	  39
john nutt	  38
robert bell, in third-street	  38
seven stars in fleetstreet, over against dunstans church	  38
the book-sellers	  38
c. dilly, poultry, london	  36
mary hinde, at no 2, in george-yard, lombard-street	  36
r. burleigh in amen-corner	  36
b. franklin, at the new printing-office near the market	  35
james phillips, in george-yard, lombard-street	  35
t. cooper	  35
w. oxlade	  35
j. sowle, in white-hart-court in gracious-street	  34
pamphlet-shops in london and westminster	  34
t. cadell, in the str	  34
t. sowle	  34
t. sowle, in white-hart-court, in gracious-street	  34
the book-sellers of london and westminster	  34
all other booksellers	  33
j. evans, no. 41, long-lane	  33
robert & andrew foulis	  33
s. kneeland, in queen-street	  33
the assigns of j. sowle, at the bible in george-yard, lombard-street	  33
john brocas in school-house-lane; near high-street	  32
joseph downing, in bartholomew-close near west-smithfield	  32
the assigns of j. sowle	  32
j. and j. rivington in st. paul's church-yard, london	  31
j. waugh	  31
james knapton at the crown in st. paul's church-yard, london	  31
m. cooper at the globe in pater-noster-row	  31
r. baldwin	  31
robert foulis	  31
samuel dancer ..	  31
a. baldwin, in warwick-lane	  30
b. bragge	  30
all booksellers, news-carriers, &c. in great britain and irel	  29
b. dod	  29
j. & j. robertson	  29
j. robertson	  29
king's theatre in the hay-market	  29
most booksellers in town	  29
printing-office in bow church-yard, london	  29
stewart & cochran, no. 34, south second-street	  29
t. fleet, at the heart and crown in cornhill	  29
t. moore	  29
the booksellers in town	  29
foundry in moorfields; and at the rev. mr. wesley's preaching-houses, in town and country	  28
j. brown at the black swan without temple-bar	  28
j. johnson, no. 72, st. paul's church-yard, london	  28
j. roberts at the oxford-arms in warwick-lane	  28
j. walter	  28
james phillips	  28
james phillips, george yard, lombard street	  28
john m'culloch, no. 1, north third-street	  28
joseph ray in skinner-row, over against the tholsel	  28
the booksellers in london and westminster	  28
all the booksellers in great britain	  27
b. dod at the bible and key in ave-mary-lane near stationers-hall	  27
booksellers shops	  27
c. randall	  27
e. whitlock, near stationers-hall	  27
george hawkins	  27
h. hills, in black-fryars, near the water-side, for the benefit of the poor	  27
j. evans	  27
j. j. tourneisen	  27
j. johnson, london	  27
jonas green, printer to the province	  27
pamphlet shops	  27
said mr. davidson's shop	  27
b. bragge, at the raven in pater-noster-row	  26
darton and harvey	  26
h. trapp	  26
john w. folsom, no. 30, union-street	  26
printing-office in bow-church-yard	  26
r. bentley, j. tonson, f. saunders, and t. bennet	  26
j. evans at no. 42, long lane	  25
j. roberts near the oxford-arms in warwick-lane	  25
john beecroft, john rivington, benjamin white, and edward dilly, in london; and t. & j. merrill, in cambridge	  25
r. taylor	  25
s. harward: sold also at his shops in glocester and cheltenham	  25
