Name	Count
Total count: 	n=313 (100% non-NA values)
Part 1	43
Part 2	34
Part 3	15
Vol. 1	13
Vol.1	13
Vol. 2	11
Vol. 3	 8
Vol.1-3	 8
Part 4	 6
Vol. I	 5
Vol.2	 5
Book 1-7	 5
Vol.4-6	 4
Vol. 1-2	 4
Part 5	 4
Chapter 2	 4
Chapter 1	 4
Books 1-6	 4
Vol. III	 3
Vol.3	 3
vol. 2	 3
Part II	 3
Part 8	 3
op. 3	 3
Chapter 3	 3
Book 8-9	 3
Book 8	 3
Vol. V	 2
Vol. II	 2
vol. 6	 2
Vol. 5	 2
Vol. 4	 2
Vol. 3-4	 2
Vol.2-3	 2
Part I	 2
Part 4 (Prosodia	 2
Part. 2	 2
No. 79	 2
No. 66	 2
Chapter 5	 2
Vols. 2-5	 1
Vol. 6	 1
Vol. 5-6	 1
vol. 5	 1
vol. 4	 1
vol. 3	 1
Vol. 1-3	 1
Vol.1-2	 1
Vol. 1 & 2	 1
vol. 1	 1
v. I-III	 1
v.9	 1
set 2	 1
Remark 54	 1
Pt. 4	 1
Pt. 3	 1
Pt. 1	 1
Parts 3 & 4	 1
Parts 2-3	 1
Parts 1 and 2	 1
Part 7-8	 1
Part 1-2	 1
Part. 1	 1
Pars posterior	 1
op. 5, no. 1	 1
op. 5	 1
op. 4	 1
op. 23	 1
op. 2	 1
op. 1	 1
Numb. 51	 1
Numb. 50	 1
Numb. 49	 1
No. 96	 1
No. 84	 1
No. 8	 1
No. 78	 1
No. 59	 1
No. 47	 1
No. 26	 1
No. 23	 1
No. 20	 1
no. 2	 1
No. 167	 1
No. 147	 1
No. 108	 1
no. 1	 1
Metrical: ii	 1
Magalah 1	 1
Libri duo	 1
Liber 5-6	 1
Liber 4	 1
Liber 1-5	 1
Liber 1-2	 1
Liber 1-10	 1
Liber 10-12	 1
Chapter the first	 1
Chapter 6	 1
Chapter 4	 1
Book V	 1
Books 1-7	 1
Book 6	 1
Book 1-2	 1
Book 1	 1
3 & 4	 1
2	 1
1 & 2	 1
1-100	 1
101-345	 1
1	 1
