Name	Count
Total count: 	n=21965 (100% non-NA values)
Broadsides	354
Taxation	301
Church and state	300
Thirty Years' War, 1618-1648	286
Sermons, English	231
Popish Plot, 1678	199
Catholics	187
Jews	184
Law	180
Apologetics	174
Great Britain	153
Finance, Public	150
Dissenters, Religious	147
Recruiting and enlistment	139
Presbyterianism	106
Royalists	105
Grand Alliance, War of the, 1689-1697	105
Protestants	104
Anti-Catholicism	 91
Spanish Succession, War of, 1701-1714	 89
Political satire, English	 89
Treason	 87
Monarchy	 87
Fasts and feasts	 86
Soldiers	 85
Plague	 82
Indians of North America	 81
Ballads, English	 79
Kings and rulers	 75
American loyalists	 73
Trials (Treason)	 72
Prophecies	 72
Speeches, addresses, etc., English	 70
Prayers	 70
Reformation	 68
Nobility	 66
Prisoners;Trials	 62
Oaths	 62
Session laws	 61
Finance	 61
Dutch War, 1672-1678	 61
Shipping	 60
Conspiracies	 59
Seven Years' War, 1756-1763	 58
Prerogative, Royal	 58
Tithes	 57
Spies	 53
Society of Friends	 52
Anglo-French War, 1793-1802	 52
Prices	 51
Elections	 51
War	 50
Fires	 50
Clergy	 50
Theater	 48
Levellers	 48
Regicides	 47
Jacobites	 47
Jacobite Rebellion, 1745-1746	 46
Mortality	 44
English poetry	 44
Church polity	 43
Theology	 42
Satire, English	 42
Pardon	 42
Debts, Public;Finance, Public	 42
Political science	 41
Loyalty oaths	 41
Episcopacy	 41
Courts	 41
Congregational churches	 41
Impeachments	 40
History, Ancient	 38
Boston Massacre, 1770	 38
Law reports, digests, etc	 37
Rye House Plot, 1683	 36
Roundheads	 36
Covenanters	 36
Slave trade	 35
Peace	 35
Land tenure	 35
Austrian Succession, War of, 1740-1748	 34
Anglo-Dutch War, 1652-1654	 34
Women in the book trades	 33
Sailors	 33
Wool industry	 32
Printing	 32
Pirates	 32
Papacy	 32
Naval battles	 32
Jacobite Rebellion, 1715	 32
Freedom of religion	 32
English literature	 32
Women	 31
Riots	 31
Privateering	 31
Postal service	 31
Ecclesiastical law	 31
Coinage	 31
Requisitions, Military	 30
Military art and science	 30
Divine right of kings	 30
Confiscations	 30
Theology, Doctrinal	 29
Science	 29
Protestantism	 29
Passes (Transportation)	 28
Commissions of array	 28
Austro-Turkish War, 1683-1699	 28
Astrology	 28
Quakers	 27
Puritans	 27
Murder	 27
Medicine	 27
