Name	Count
Total count: 	n=48091 (100% non-NA values)
28	16235
19	14622
45	11130
90	 4245
20	  201
21	  152
22	  105
34	   97
15	   93
35	   70
33	   68
31	   68
32	   67
36	   57
16	   57
30	   52
18	   51
29	   46
12.5	   45
43	   41
42	   41
40	   41
23	   40
38	   39
39	   36
27	   34
48	   33
44	   32
24	   31
26	   28
50	   25
41	   25
49	   21
37	   21
17	   19
46	   18
25	   18
51	   14
47	   14
14	   14
53	   13
52	    8
12	    7
56	    4
54	    3
10	    3
7	    2
55	    2
58	    1
46.5	    1
17.5	    1
