token,type,unified
son,role,_son_
author,role,
book-binder,role,
book-seller,role,_bookseller_
bookseller,role,_bookseller_
bookseller.,role,_bookseller_
booksellers,role,_booksellers_
chapmen,role,
hawkers,role,
him,role,
law-book-seller,role,_law-bookseller_
law-bookseller,role,_law-bookseller_
law-printer,role,_law-printer_
law-printers,role,_law-printers_
majesty,role,
news-carriers,role,
print-seller,role,
printer,role,
printers,role,
printseller,role,
proprietors,role,
publisher,role,
publishers,role,
stationer,role,
stationers,role,
writer,role,
whip-maker,role,
company,role,
_map_and_print_seller_,role,
_company_of_stationers_,role,
_majestys_law_printers_,role,_law-printers_
_law_printer_,role,_law-printer_
_prince_of_wales_,role,
_royal_highness_,role,
_duke_of_,role,
adjoining,loc_prefix,
in,loc_prefix,
facing,loc_prefix,
under,loc_prefix,
on,loc_prefix,
no.,loc_prefix,
nos.,loc_prefix,
nro.,loc_prefix,
_next_door_,loc_prefix,
near,loc_prefix,
(no.,loc_prefix,
_directly_opposite_,loc_prefix,
at,loc_prefix,
without,loc_prefix,
opposite,loc_prefix,
_over_against_,loc_prefix,
within,loc_prefix,
next,loc_prefix,
_corner_of_,loc_prefix,
_locpref_of_,loc_prefix,
against,loc_prefix,
behind,loc_prefix,
between,loc_prefix,
betwixt,loc_prefix,
withont,loc_prefix,
_directly_opposite_to_,loc_prefix,
_opposite_to_,loc_prefix,
_north-side_of_,loc_prefix,
for,person_prefix,for
by,person_prefix,by
;,ender,
:,ender,
year,ender,
printed,verb,
published,verb,
reprinted,verb,
sold,verb,
mess.,person_title,
mrs.,person_title,
messrs.,person_title,
messrs,person_title,
esq,person_title,
mr.,person_title,
mr,person_title,
miss,person_title,
messieurs,person_title,
messeurs,person_title,
messers.,person_title,
messers,person_title,
mrs,person_title,
street,location_component,
square,location_component,
alley,location_component,
chapel,location_component,
Jun.,person_attribute,_junior_
jun.,person_attribute,_junior_
Junior,person_attribute,_junior_
Senior,person_attribute,_senior_
Sen.,person_attribute,_senior_
junior,person_attribute,_junior_
senior,person_attribute,_senior_
Jun'r,person_attribute,_junior_
Ju.,person_attribute,_junior_
Iunior,person_attribute,_junior_
_in_the_year_,timestamp_prefix,
