"","x"
"1","Sold at the Bible and Heart, in Cornhill"
"2","Printed and sold at the printing-office in Bow-Church-Yard, London"
"3","printed for Mr. Swan; and sold at the office of the paper of the World, No. 335, opposite to Somerset-House, Strand"
"4","printed by Felix Farley; and sold at the School-Room in the Horse-Fair: also by T. Trye, near Gray's-Inn Gate, Holborn; and at the Foundry near Upper-Moor-Fields, London"
"5","printed and sold at the New Chapel, City-Road, and at the Rev. Mr. Wesley's preaching-houses in town and country"
"6","sold at the Foundery, Upper Moorfields; and at Mrs. Englefield's, at the Bible, in West-Sreet near the Seven Dials"
"7","printed by J. Paramore, at the Foundry, Moorfields : and sold at the New Chapel, in the City-Road; and at the Rev. Mr. Wesley's preaching-houses in town and country"
"8","printed by J. Paramore, at the Foundery, Moorsields : and sold at the New Chapel, in the City-Road; and at the Rev. Mr. Wesley's preaching-houses in town and country"
"9","Printed and sold at the prin-office [sic] in Bow-church yard, London"
"10","printed for S. Sloe, and sold at the pamphlet-shops of London and Westminster"
"11","Printed and sold at Sympson's printing-office in Stonecutter-Street, Fleet-market"
"12","Printed and sold at the prining-office [sic] in Aldermary church yard, London"
"13","In the Savoy: printed by J. Nutt, assignee of Edw. Sayer Esq; for J. Walthoe in the Middle-Temple Cloysters,; and are to be sold at his shop in Stafford"
"14","printed for G. Spavan, next Door to the Feathers Tavern. over-against St. Clement's-Church in the Strand; and sold at the pamphlet-shops of London and Westminster"
"15","re-printed by George Faulkner, and sold at his shop, by R. Gunne, by J. Smith and W. Bruce"
"16","printed by the author, & sold at his warehouse"
"17","printed for William Rayner, prisoner in the King's-Bench, and to be sold at the Theatre, and likewise at the Printing-Office in Marigold Court, over-against the Fountain-Tavern in the Strand"
"18","Printed and sold at the printing-office in Aldermary church-yard, London"
"19","printed for J. T., and sold at the Pamphlet Shops in London and Westminster"
"20","printed for the author, and are to be sold at Mr. Robinson's, a looking-glass shop, over against Serjeants-Inn, Fleet street"
"21","printed for the editor, and sold at No. 62, Great Wild-Street, near Lincoln's-Inn-Fields; by Mess. Egerton, Whitehall; Mess. Cox and Phillipson, James-Street, Covent-Garden; R. Ryan, No. 351, Oxford-Street; H. D. Symonds, No. 20, Pater-Noster-Row; and W. Richardson, under the Royal-Exchange"
"22","Printed and sold at the printing-office in Bow-Church-Yard, London"
"23","printed for the author: and sold at the watchmaker's shop opposite All Souls College: and by R. Baldwin, in Paternoster Row, London"
"24","printed for A. Moore, and sold at the White-Hart, next E. Lynn's, Whip-Maker, over-against Devereux-Court, without Temple-Bar"
"25","printed for John Cooper, and sold at the pamphlet shops of London and Westminster"
"26","printed and sold at the New-Chapel, City-Road; and at the Rev. Mr. Wesley's preaching-houses in town and country"
"27","printed, and sold at Mr. Wilkie's, Bookseller, in St. Paul's Church-Yard; and at Mr. Spilsbury's, Ohymist, No 5, Mount-Row, near the Turnpike, Westminster-Bridge; at M. Swinney's, Printer, Birmingham, and at Newry, in Ireland, by Mr. George Stevenson, Bookseller"
"28","printed for E. and C. Dilly, and to be sold at the Tabernacle near Moorfields, and at the chapel in Tottenham-Court road"
"29","printed and sold at the pamphlet shops in London and Westminster"
"30","printed for the author; and sold at her house in White-Hart-Street, Queen-Square"
