tokens,amounts,keep_stop,
J.,98985,1,
T.,38806,1,
W.,34936,1,
R.,27679,1,
St.,24890,1,
S.,17317,1,
G.,16404,1,
No.,15650,1,
C.,15207,1,
A.,14517,1,
E.,10826,1,
B.,10557,1,
H.,10075,1,
Mr.,9919,1,
M.,8556,1,
P.,7074,1,
D.,6921,1,
F.,6259,1,
Tho.,5190,1,
no.,5142,1,
L.,3794,1,
Co.,3463,1,
I.,2734,1,
Messrs.,2487,1,
N.,2414,1,
J[ohn].,1279,1,
Sam.,1273,1,
[i.e.,1226,1,
Edw.,1180,1,
Benj.,1150,1,
T[homas].,1142,1,
Mess.,989,1,
Mrs.,824,1,
jun.,810,1,
Jun.,799,1,
&c.,730,1,
W[illiam].,667,1,
Nath.,659,1,
...,657,1,
Rich.,597,1,
Will.,590,1,
Alex.,575,1,
printed.,517,,
London.,501,,
Geo.,480,1,
Ric.,474,1,
NO.,462,1,
Eliz.,397,1,
Rev.,393,1,
Hen.,387,1,
ST.,373,1,
O.,353,1,
Jos.,351,1,
Hrn.,346,1,
G.G.,344,1,
Jo.,340,1,
T.N.,333,1,
R[obert].,330,1,
F[rancis].,330,1,
Wm.,323,1,
Rob.,314,1,
Dan.,312,1,
J.F.,312,1,
(no.,311,1,
G.G.J.,309,1,
Gul.,307,1,
H.D.,303,1,
J.C.,291,1,
author.,289,1,
P[hilip].,283,1,
..,279,,
f.,270,1,
J[ames].,264,1,
Tim.,261,1,
T.R.,260,1,
A.M.,255,1,
J.M.,254,1,
R[ichard].,250,1,
Joh.,247,1,
[J.,245,1,
I[ohn].,244,1,
Ed.,231,1,
Street.,231,,
Fr.,230,1,
[R.,220,1,
J.R.,218,1,
J.D.,216,1,
Ja.,214,1,
Z.,206,1,
E[dward].,205,1,
J.P.,204,1,
Ben.,194,1,
H[enry].,188,1,
Ri.,184,1,
J.G.,183,1,
G[eorge].,182,1,
Leon.,178,1,
J.S.,178,1,
Strand.,177,,
Eman.,177,1,
V.,175,1,
E.T.,173,1,
R.W.,171,1,
Guil.,169,1,
G[riffin].,168,1,
P.A.,167,1,
T.M.,167,1,
Jer.,161,1,
J.W.,159,1,
(No.,158,1,
J.H.,158,1,
M[acock].,156,1,
1,153,,
M.S.,153,1,
O[nley].,152,1,
Cochran.,148,,
J[onah].,148,1,
Eben.,145,1,
Stationers.,145,,
[W.,142,1,
s.n.,138,1,
T.B.,136,1,
Church-Yard.,135,,
W.P.,134,1,
M[iller].,133,1,
s.,132,1,
Fleet-Street.,131,,
W.H.,131,1,
J.B.,130,1,
Dr.,129,1,
Wal.,129,1,
Thomas.,129,1,
E.M.,129,1,
T.W.,127,1,
F[lesher].,125,1,
a.,123,1,
Ch.,122,1,
[T.,121,1,
Country.,119,,
country.,118,,
T.C.,117,1,
sen.,116,1,
Comp.,115,1,
Cambridge.,114,,
R.H.,114,1,
Th.,112,1,
N[orton].,112,1,
E[lizabeth].,111,1,
Oli.,110,1,
Dom.,109,1,
Press.,108,,
J.L.,108,1,
Piccadilly.,107,,
W.B.,107,1,
A[nne].,107,1,
VV.,106,1,
M.K.,105,1,
Andr.,104,1,
C[ottrell].,103,1,
Joan.,101,1,
R.I.,101,1,
Cornhill.,100,,
Edm.,100,1,
M[ary].,100,1,
Water-Side.,99,,
Pat.,99,1,
G[rismond].,99,1,
gov.,99,1,
T.H.,96,1,
G.M.,96,1,
Lane.,95,,
Reid.,95,,
N[ewcomb].,95,1,
D[arby].,95,1,
S[amuel].,92,1,
K.,90,1,
S.G.,90,1,
Chr.,89,1,
R.E.,88,1,
Io.,87,1,
R[atcliffe].,87,1,
1800,86,,
Aug.,85,1,
Junr.,84,1,
W[hite].,83,1,
M[iles].,83,1,
booksellers.,82,,
D[awson].,82,1,
4,81,,
H.L.,81,1,
Jac.,80,1,
E.C.,80,1,
M[ilbourn].,80,1,
Joann.,79,1,
C[larke].,79,1,
